feature,rf_importance,perm_importance,f_score,mutual_info,abs_correlation,rf_importance_norm,perm_importance_norm,f_score_norm,mutual_info_norm,abs_correlation_norm,combined_score
mean_meandering_ratio,0.024787989215587402,0.004245455654507712,29.924161667557136,0.009387867896425428,0.060317737802363706,1.0,1.0,1.0,0.40801882981315274,1.0,0.9408018829813153
min_meandering_ratio,0.02342714876444402,0.0012199585214102359,20.00512289720688,0.023008418265217045,0.04934767462717371,0.9451008131677077,0.2873563218390743,0.6684815891953915,1.0,0.8159606594490789,0.6850295242860207
turning_angle_mad,0.02068851916929928,0.00020739294863971746,20.846656838413203,0.00767225876427835,0.05037233074662361,0.8346186933262719,0.04885057471263729,0.6966077011388986,0.3334544198493158,0.8331508099070556,0.5210228436150895
wavelet_turning_level0,0.018490904620713608,2.4399170428202056e-05,20.2744874734543,0.012901165721686425,0.04967797709097517,0.7459622666402482,0.005747126436780859,0.6774844087540298,0.5607150206057298,0.8215019810120984,0.49923139983569753
std_turning_angle,0.020081942965914607,0.00024399170428202055,16.844315670347537,0.008126055188774961,0.04529041834466663,0.8101481242087398,0.05747126436780858,0.5628397207675367,0.3531774803076975,0.7478940714309337,0.48296091590033496
wavelet_turning_level1,0.01953584684657901,0.00019519336342561645,20.105084828382047,0.003618027928871337,0.049470510653719345,0.7881174498129242,0.04597701149424687,0.6718225601635874,0.15724800754082635,0.8180214188959782,0.48211979306854924
wavelet_turning_level2,0.01954423576277715,0.00017079419299741437,17.420292443513762,0.00538204389438679,0.0460566278671719,0.7884558764648474,0.040229885057466004,0.5820902659989161,0.23391629239125444,0.760748390772013,0.46449024997280397
mean_pause_length,0.014345881219586321,0.0003659875564230308,21.06809279569675,0.0067327916749402306,0.050638472444195705,0.578743241124424,0.08620689655171287,0.7040086296313927,0.2926229694423854,0.8376157379327251,0.4533106379666306
turning_entropy,0.021004847670305263,0.0007197755276320272,11.536013864872023,0.0,0.037492806011516125,0.8473800552203246,0.16954022988505102,0.38542335821809026,0.0,0.6170773743210838,0.4438684946073391
jerk_median,0.01791409294816492,0.00042698548249353596,4.300643702496259,0.013454556017588715,0.022902259246049612,0.7226924617548254,0.10057471264366502,0.14359968221997782,0.5847666650744361,0.37229896583691174,0.37140665185467747
acceleration_iqr,0.018950915772884335,7.319751128460616e-05,4.317855993675691,0.016073310706982813,0.022948019784462162,0.7645200910837678,0.017241379310342576,0.14417495887230505,0.6985839061906148,0.37306666782533304,0.37052849029428886
total_distance,0.01714630168158288,0.00012199585214101027,7.358809674448021,0.008915943925097647,0.029952591504186495,0.6917181354428212,0.02873563218390429,0.2458110301611432,0.3875079035127033,0.4905789136121373,0.35310701803273037
speed_fractal_dim,0.01997919081543805,0.00012199585214101027,3.5903648789823244,0.007996844898646271,0.020926649461726354,0.8060028847710875,0.02873563218390429,0.11986043568095134,0.3475616970478798,0.33915513465870134,0.34306532539334583
interburst_cv,0.016907647978624693,0.00014639502256921232,6.610417014135489,0.007821321526115144,0.028389965235766278,0.6820903394613661,0.03448275862068515,0.2207979264573573,0.3399330382453547,0.4643635032380195,0.3395611688644243
early_late_speed_ratio,0.018609938105073512,0.0,5.239624924927944,0.008404196453386747,0.025277657671159616,0.7507643295798695,0.0,0.17498271941168833,0.3652661541750475,0.41214985390578285,0.3379674435643815
x_mad,0.020133966562514236,0.0002683908747102226,4.402899412249973,0.0,0.02317278692609332,0.8122468663111011,0.06321839080458945,0.14701731684951275,0.0,0.3768374753277791,0.32972678803738764
mean_turning_angle,0.020154821671739005,0.00020739294863971746,4.6632159529224975,0.0,0.023847604279076673,0.8130882056001973,0.04885057471263729,0.15571772904347184,0.0,0.388158553306277,0.32854103523317246
y_mad,0.019804899950376827,0.0002317921190679195,4.651847651244599,0.0,0.023818534405193166,0.7989716220274509,0.05459770114941815,0.15533777273993665,0.0,0.3876708623664911,0.3259054377376971
max_frenetic_score,0.01876119943667648,2.4399170428202056e-05,6.605145243075285,0.0,0.028378651678149836,0.7568665321541651,0.005747126436780859,0.22062173104120175,0.0,0.46417370126060487,0.31932581391158466
max_meandering_ratio,0.019665179491211486,0.0001341954373551113,2.3167064797862005,0.0061890687198142835,0.016811236173986343,0.7933350026974134,0.031609195402294725,0.0772916729020827,0.26899149035249426,0.2701128752409882,0.31685203056967726
