mean_speed,std_speed,max_speed,min_speed,total_distance,time_paused,fraction_paused,mean_turning_angle,std_turning_angle,max_turning_angle,turning_frequency,mean_meandering_ratio,std_meandering_ratio,min_meandering_ratio,max_meandering_ratio,median_meandering_ratio,fraction_efficient_movement,filename,label,original_file
2.5558782836762273,3.5629246662417944,10.0,0.0,259.9155517110691,4286,0.09167130085126406,-0.002843673337582412,0.52669609674685,1.0,0.0,0.25093266225642263,0.23231664106426586,0.0,0.9908436928901296,0.1744203650381849,0.1441383728379244,coordinates_highestspeed_20240827_11_1_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_11_1_with_time_speed.csv
2.0168542934137097,2.841932294562665,10.0,0.0,155.91992379050114,2854,0.05615567754756705,0.0013395700292881535,0.5290817038251089,1.0,0.0,0.23684851355775777,0.20799442850915198,8.714512965471223e-05,0.9862081363513371,0.1780063631986547,0.11969339622641509,coordinates_highestspeed_20240827_11_2_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_11_2_with_time_speed.csv
1.7065071156203573,2.659170562065674,10.0,0.0,725.2814289746161,2510,0.047233722243131354,0.0031938290321686913,0.5539268545668483,1.0,0.0,0.18576796365187453,0.18194345122830927,7.608526569570827e-05,0.9797229225187867,0.1274445413795187,0.06824591088550479,coordinates_highestspeed_20240827_11_3_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_11_3_with_time_speed.csv
1.103809930476951,2.1660326922631015,10.0,0.0,164.89323982631015,7199,0.12332334047109207,-0.016074085039200384,0.5309861710426219,1.0,0.0,0.19082249813034174,0.18275716556209404,0.0002002318186496082,0.9914731901675264,0.13644862659394527,0.07234479220112879,coordinates_highestspeed_20240827_11_4_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_11_4_with_time_speed.csv
1.5884235077947986,2.5540041482086018,10.0,0.0,294.28663616275844,3446,0.05047531162572688,-0.0047498178850694855,0.5456348901608764,1.0,0.0,0.1911782250371215,0.17586544241348803,0.0,0.9802101071017163,0.13966217775070777,0.0649692712906058,coordinates_highestspeed_20240827_11_6_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_11_6_with_time_speed.csv
1.3701878431962693,2.251249648775058,10.0,0.0,270.6108384704712,8978,0.13247554263623085,-0.002066063673413488,0.5213289595787118,1.0,0.0,0.21351370712605916,0.18514025819975138,0.00026694571811158066,0.9789434610779678,0.16036964873415183,0.08447589562140646,coordinates_highestspeed_20240827_9_2_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_9_2_with_time_speed.csv
1.211836685584367,1.9321473601627381,10.0,0.0,70.174429188197,4217,0.09878885843465224,0.003769467379430801,0.46434400005473475,1.0,0.0,0.2541988734232442,0.20064321770991428,0.003180974761951181,0.9709708615677503,0.19887975821764636,0.12631578947368421,coordinates_highestspeed_20240827_9_5_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240827_9_5_with_time_speed.csv
1.5998944788646405,2.473732334222243,10.0,0.0,107.41155766915139,6897,0.13941219275549807,0.001159403681669954,0.49096614232104185,1.0,0.0,0.30129997369972783,0.24236502556031347,0.00014806755306729402,0.9919312493869279,0.22812515568622319,0.20654149000605693,coordinates_highestspeed_20240924_09_1_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240924_09_1_with_time_speed.csv
1.221034924802474,1.9723730750599047,10.0,0.0,88.58569694084466,7521,0.1306137334583724,-0.0042666656376265455,0.4912877908078827,1.0,0.0,0.28805149008734937,0.22369882452422304,0.0005984191691016655,0.9887118825542616,0.23025425501758187,0.1696149843912591,coordinates_highestspeed_20240924_09_2_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240924_09_2_with_time_speed.csv
1.009646292234558,1.5919924411394895,10.0,0.0,59.46793617820498,6691,0.1435282508902141,0.0023504169113280245,0.5011507419123229,1.0,0.0,0.29122331656646755,0.22467330037750177,0.0,1.0,0.2248922967544609,0.16580976863753213,coordinates_highestspeed_20240924_09_3_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240924_09_3_with_time_speed.csv
1.9859952093403364,2.4806271720270407,10.0,0.0,102.04261741457384,3359,0.06597529118299846,0.001833708137416997,0.4971553552906131,1.0,0.0,0.2843381556684017,0.22170350352419507,0.0024531972182433863,0.9925869629934315,0.22086927718642516,0.15656268393172454,coordinates_highestspeed_20240924_09_4_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240924_09_4_with_time_speed.csv
1.4988232278541378,1.9981918296162786,10.0,0.0,104.21126173594699,1398,0.028462650406173014,0.0007120203060395812,0.5522949455903119,1.0,0.0,0.24172865826783396,0.2097474668970365,6.424275637357242e-05,0.9739413996717003,0.1758545980678275,0.11775472849298353,coordinates_highestspeed_20240924_09_5_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240924_09_5_with_time_speed.csv
1.5042810405358742,2.0791459230579346,10.0,0.0,83.63890455945717,1503,0.02853291821702483,-0.0013450738836841027,0.5560331098353838,1.0,0.0,0.20786921879909237,0.17962070555499582,0.0014141971910166726,0.9752368045305488,0.15292157822494462,0.08020477815699659,coordinates_highestspeed_20240924_09_6_with_time_speed-preprocessed.csv,1,coordinates_highestspeed_20240924_09_6_with_time_speed.csv
